ID,Fire Report,Site,Start Date,End Date
149972,1,C2 - Site A,9/11/2021,9/13/2021
105200,41,Albuqeruque,8/7/2023,8/9/2023
170533,2,Albuquerque - Site B,3/15/2021,3/17/2021
78031,3,Austin,8/15/2023,8/17/2023
115313,4,Bend,8/1/2023,8/3/2023
104690,1,Casper,8/20/2023,8/22/2023
156841,6,Dekalb Co.,8/16/2021,8/18/2021
127155,7,Dundas,5/21/2023,5/23/2023
57157,8,Glendale,8/11/2023,8/13/2023
51959,9,Houston,8/10/2023,8/12/2023
137120,10,Irvine,10/25/2020,10/27/2020
165605,12,Jefferson,5/10/2023,5/12/2023
181053,13,Kansas City,5/18/2023,5/20/2023
110634,14,Las Cruces - Site A,7/21/2023,7/23/2023
2938,15,Las Cruces - Site B,11/20/2021,11/22/2021
37693,16,Oakland,8/8/2023,8/10/2023
12799,17,Pender Co.,2/13/2021,2/15/2021
193773,18,Pensacola,8/14/2023,8/16/2023
57157,19,Phoenix,6/6/2021,6/8/2021
72315,20,Pitt Co.,8/5/2023,8/7/2023
31619,21,Raleigh,11/25/2022,11/27/2022
171959,22,Richmond,4/10/2023,4/12/2023
156491,23,Rio Rancho - Site A,6/20/2023,6/22/2023
55967,24,Rio Rancho - Site B,8/24/2022,8/26/2022
36659,25,Roseburg,8/19/2020,8/21/2020
197593,26,Salt River Reservation,10/24/2019,10/26/2019
52019,27,Simi Valley,9/30/2021,10/2/2021
121385,28,St. Clair Co.,8/12/2023,8/14/2023
91785,29,Tuscon,4/29/2021,5/1/2021
192023,30,Vinton,7/31/2023,8/2/2023
186825,31,Wellford - Fire 1,7/14/2023,7/16/2023
124793,32,Wellford - Fire 2,9/25/2019,9/27/2019
115035,43,C2 - Site C,9/15/2021,9/17/2021
